iter	Logloss
0	0.6182772059
1	0.5654959127
2	0.5290013527
3	0.4854518345
4	0.448445638
5	0.4261863605
6	0.4076404961
7	0.3896786956
8	0.3771891691
9	0.362844039
10	0.3493701649
11	0.3374903413
12	0.3272169982
13	0.3182808753
14	0.3085579386
15	0.3032765551
16	0.2987871754
17	0.2949361477
18	0.2888361094
19	0.282786259
20	0.2787155618
21	0.2737727263
22	0.2688282558
23	0.2646220201
24	0.2610125379
25	0.2582120312
26	0.2533030607
27	0.2490392153
28	0.2447470581
29	0.2406867929
30	0.2363309276
31	0.2332507802
32	0.2303709692
33	0.2276122684
34	0.2245784941
35	0.22237417
36	0.2194438078
37	0.2168035053
38	0.2122170325
39	0.2100646609
40	0.2053972231
41	0.2023088883
42	0.1995231992
43	0.1962140401
44	0.1944415683
45	0.1922589646
46	0.1908827023
47	0.188789186
48	0.1875542621
49	0.1848559996
50	0.1828499878
51	0.1803911949
52	0.17733474
53	0.1750530061
54	0.1737098564
55	0.1723753481
56	0.1709679065
57	0.169006192
58	0.1677469267
59	0.1653265272
60	0.1636925522
61	0.1625785309
62	0.1602256152
63	0.1581970137
64	0.1564341954
65	0.1544401986
66	0.1531806219
67	0.1513183749
68	0.1490733088
69	0.147797617
70	0.1457368111
71	0.144089303
72	0.1427130277
73	0.1408598374
74	0.1396526804
75	0.1382193273
76	0.1361765051
77	0.1341460092
78	0.1327619488
79	0.1316874108
80	0.1300618697
81	0.1290741226
82	0.1278710787
83	0.1260784175
84	0.1243223593
85	0.1227559978
86	0.1214528505
87	0.1199248437
88	0.1174337296
89	0.115565008
90	0.1146899373
91	0.1138663519
92	0.1123337259
93	0.1109178245
94	0.109055292
95	0.1076452813
96	0.1070949139
97	0.105755248
98	0.1042769361
99	0.1032104103
