iter	Passed	Remaining
0	5	506
1	8	430
2	12	393
3	15	373
4	19	362
5	22	346
6	25	335
7	28	327
8	31	319
9	34	314
10	38	308
11	41	302
12	44	297
13	47	293
14	50	287
15	54	283
16	57	279
17	60	275
18	63	270
19	66	267
20	71	269
21	74	264
22	77	260
23	81	256
24	84	252
25	87	248
26	90	244
27	93	240
28	96	237
29	100	233
30	103	230
31	106	227
32	110	223
33	113	220
34	116	216
35	120	213
36	123	210
37	127	207
38	130	203
39	133	200
40	137	197
41	140	193
42	143	190
43	146	187
44	150	183
45	153	180
46	157	177
47	160	173
48	163	170
49	167	167
50	170	163
51	173	160
52	176	156
53	179	153
54	184	150
55	187	147
56	191	144
57	195	141
58	198	137
59	202	134
60	205	131
61	209	128
62	212	124
63	216	121
64	219	118
65	223	115
66	226	111
67	230	108
68	234	105
69	237	101
70	241	98
71	245	95
72	249	92
73	253	89
74	258	86
75	261	82
76	265	79
77	268	75
78	272	72
79	275	68
80	278	65
81	282	61
82	285	58
83	288	55
84	292	51
85	295	48
86	298	44
87	302	41
88	305	37
89	309	34
90	312	30
91	315	27
92	319	24
93	322	20
94	326	17
95	329	13
96	333	10
97	336	6
98	340	3
99	343	0
